Classes,k = 1 ,k = 2,k = 3,k = 4
a_cote_de,0.21468926553672316,0.4943502824858757,0.692090395480226,0.788135593220339
a_l'exterieur_de,0.0,0.0,0.0,0.08333333333333333
au_dessus_de,0.0625,0.125,0.15625,0.25
au_niveau_de,0.08203125,0.2421875,0.546875,0.69921875
aucun,0.0,0.0,0.0,0.2
autour_de,0.0,0.2222222222222222,0.5555555555555556,0.5555555555555556
contre,0.15894039735099338,0.39072847682119205,0.47019867549668876,0.5827814569536424
dans,0.06666666666666667,0.06666666666666667,0.2,0.26666666666666666
derriere,0.3433962264150943,0.5283018867924528,0.6830188679245283,0.8
devant,0.33454545454545453,0.52,0.6727272727272727,0.8109090909090909
en_face_de,0.0,0.05970149253731343,0.11940298507462686,0.3283582089552239
le_long_de,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705
loin_de,0.16666666666666666,0.43137254901960786,0.5490196078431373,0.696078431372549
par_dela,0.0,0.0,0.08333333333333333,0.08333333333333333
pres_de,0.4462279293739968,0.7158908507223114,0.8475120385232745,0.9197431781701445
sous,0.37383177570093457,0.5233644859813084,0.6074766355140186,0.6635514018691588
sur,0.35555555555555557,0.5444444444444444,0.6333333333333333,0.6888888888888889
Micro AVG,0.1532383051654168,0.2895914345355976,0.4044480723657506,0.49855161286115823
