Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.5841013824884793,0.7523041474654378,0.8611751152073732,0.9089861751152074
at,0.0,0.01876172607879925,0.16322701688555347,0.2626641651031895
behind,0.22413793103448276,0.46021220159151194,0.636604774535809,0.7877984084880637
below,0.17052980132450332,0.5182119205298014,0.6639072847682119,0.7400662251655629
beside,0.0041753653444676405,0.07724425887265135,0.14613778705636743,0.2359081419624217
by,0.0,0.0,0.0,0.003787878787878788
front,0.16886792452830188,0.35660377358490564,0.55,0.6981132075471698
in,0.55968,0.84064,0.88832,0.92928
left,0.2049469964664311,0.29328621908127206,0.36042402826855124,0.4416961130742049
near,0.0034965034965034965,0.05011655011655012,0.2097902097902098,0.41025641025641024
next,0.37751004016064255,0.5194109772423026,0.6285140562248996,0.714859437751004
on,0.8848142924306535,0.9388810531264692,0.9583921015514809,0.9701457451810062
over,0.0,0.11139240506329114,0.24556962025316456,0.389873417721519
right,0.12295081967213115,0.19672131147540983,0.28688524590163933,0.3729508196721312
top,0.0,0.0,0.015384615384615385,0.015384615384615385
under,0.47988223748773307,0.7075564278704612,0.8155053974484789,0.8567222767419038
Micro AVG,0.2365683309021456,0.3650839357561789,0.4643648283297722,0.546155814872018
