Classes,Accuracy,Precision,Recall,F1-Score
above,0.9146688820318063,0.6536082474226804,0.3652073732718894,0.4684152198005172
at,0.9683717066223594,0,0.0,0.0
behind,0.910515072394968,0.5,0.015915119363395226,0.030828516377649325
below,0.9641585568478519,0.5,0.0033112582781456954,0.006568144499178982
beside,0.9715760740564918,0,0.0,0.0
by,0.9843342036553525,0,0.0,0.0
front,0.9371587942084025,1.0,0.0009433962264150943,0.0018832391713747645
in,0.8644077854260622,0.8790613718411552,0.31168,0.4600850259801606
left,0.9831474009019701,0.0,0.0,0.0
near,0.9490861618798956,0,0.0,0.0
next,0.9113458343223356,0,0.0,0.0
on,0.8279136007595538,0.6295445847684654,0.7733897508227551,0.6940196181837359
over,0.9765606456206979,0,0.0,0.0
right,0.9852836458580584,0.16666666666666666,0.004098360655737705,0.00796812749003984
top,0.9884286731545218,0,0.0,0.0
under,0.9390576786138144,0.46078431372549017,0.04612365063788027,0.08377896613190731
MACRO AVG,0.9422509197721337,0.29935407402652864,0.09504180682851367,0.10959667860216024
Micro AVG,0.9422509197721338,0.6660862577015805,0.2754972023710598,0.3897640880946783
EXAMPLES,0.14487301210538814,0.2950985046285307,0.2872606614447345,0.2911268391378905
