Classes,Accuracy,Precision,Recall,F1-Score
above,0.9191469138002732,0.6731301939058172,0.41993087557603687,0.5170212765957447
at,0.9683360066535971,0,0.0,0.0
behind,0.9104734747222717,0,0.0,0.0
below,0.9641181013485416,0,0.0,0.0
beside,0.9715439909701182,0,0.0,0.0
by,0.9843165211192301,0,0.0,0.0
front,0.9370284560090298,0,0.0,0.0
in,0.8766708251648547,0.8072642062097246,0.44096,0.5702462238775088
left,0.9831877858967504,0,0.0,0.0
near,0.9490286936374978,0,0.0,0.0
next,0.9112457672429157,0,0.0,0.0
on,0.8268282540248322,0.6511627906976745,0.6779501645510108,0.6642100414555504
over,0.9765341887958178,0,0.0,0.0
right,0.9855046634586824,0,0.0,0.0
top,0.988475019307313,0,0.0,0.0
under,0.9394047406879344,0,0.0,0.0
MACRO AVG,0.9432402126774786,0.13322232442582602,0.09617756500794047,0.10946734637055025
Micro AVG,0.9432402126774787,0.6913699958442998,0.2765096952908587,0.39501385041551246
EXAMPLES,0.1460217034000674,0.2965009208103131,0.2899601972316282,0.29319408510682987
