Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6670506912442397,0.7632488479262672,0.8571428571428571,0.9014976958525346
at,0.0,0.0,0.02626641651031895,0.2326454033771107
behind,0.13395225464190982,0.5039787798408488,0.7327586206896551,0.8415119363395226
below,0.013245033112582781,0.5596026490066225,0.7367549668874173,0.7897350993377483
beside,0.0,0.0,0.014613778705636743,0.18789144050104384
by,0.0,0.0,0.0,0.0
front,0.10849056603773585,0.3433962264150943,0.6075471698113207,0.710377358490566
in,0.5472,0.83328,0.86592,0.90944
left,0.0989399293286219,0.4275618374558304,0.5759717314487632,0.6784452296819788
near,0.0,0.05471478463329453,0.34225844004656575,0.509895227008149
next,0.5167336010709505,0.6117804551539491,0.6914323962516734,0.7951807228915663
on,0.8822284908321579,0.9156088387400094,0.9334743770568876,0.9503996238834038
over,0.0,0.27341772151898736,0.4962025316455696,0.5848101265822785
right,0.07377049180327869,0.45081967213114754,0.5327868852459017,0.6311475409836066
top,0.0,0.0,0.005128205128205128,0.020512820512820513
under,0.5966633954857704,0.7409224730127576,0.7958783120706575,0.8488714425907753
Micro AVG,0.22739215334732799,0.4048957678646755,0.5133835430400893,0.599522604252069
