Classes,k = 1 ,k = 2,k = 3,k = 4
a_cote_de,0.1954674220963173,0.42776203966005666,0.6203966005665722,0.7110481586402266
a_l'exterieur_de,0.0,0.1,0.2,0.3
au_dessus_de,0.12903225806451613,0.1935483870967742,0.22580645161290322,0.2903225806451613
au_niveau_de,0.0847457627118644,0.3135593220338983,0.5932203389830508,0.7584745762711864
aucun,0.0,0.0,0.0,0.0
autour_de,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.7777777777777778
contre,0.12903225806451613,0.41935483870967744,0.5741935483870968,0.7032258064516129
dans,0.3125,0.4375,0.6875,0.875
derriere,0.5358490566037736,0.7094339622641509,0.7924528301886793,0.879245283018868
devant,0.20363636363636364,0.4036363636363636,0.5490909090909091,0.6727272727272727
en_face_de,0.22727272727272727,0.36363636363636365,0.5,0.7121212121212122
le_long_de,0.0,0.0,0.058823529411764705,0.058823529411764705
loin_de,0.4489795918367347,0.8163265306122449,0.8979591836734694,0.9285714285714286
par_dela,0.0,0.09090909090909091,0.2727272727272727,0.36363636363636365
pres_de,0.36568457538994803,0.6655112651646448,0.7850953206239168,0.8665511265164645
sous,0.4672897196261682,0.616822429906542,0.7009345794392523,0.7757009345794392
sur,0.4444444444444444,0.6333333333333333,0.7222222222222222,0.7888888888888889
Micro AVG,0.22807455959298273,0.39033990420044623,0.5204170266819867,0.6154185258386864
