Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6710829493087558,0.8070276497695853,0.8836405529953917,0.9112903225806451
at,0.03377110694183865,0.2045028142589118,0.47842401500938087,0.6022514071294559
behind,0.5773059057730591,0.7438619774386198,0.8367617783676178,0.8911745189117452
below,0.3162251655629139,0.6705298013245033,0.7798013245033113,0.8377483443708609
beside,0.0,0.0020876826722338203,0.031315240083507306,0.14822546972860126
by,0.0,0.01893939393939394,0.026515151515151516,0.04924242424242424
front,0.33584905660377357,0.5150943396226415,0.6584905660377358,0.7679245283018868
in,0.72512,0.84224,0.89248,0.92288
left,0.12367491166077739,0.36395759717314485,0.508833922261484,0.6254416961130742
near,0.002331002331002331,0.11072261072261072,0.3578088578088578,0.6025641025641025
next,0.4886211512717537,0.7730923694779116,0.892235609103079,0.9611780455153949
on,0.84579219558063,0.9318288669487541,0.9518100611189468,0.961683121767748
over,0.0,0.4835443037974684,0.610126582278481,0.6658227848101266
right,0.25,0.48770491803278687,0.6188524590163934,0.6844262295081968
top,0.0,0.07216494845360824,0.10309278350515463,0.25257731958762886
under,0.6039215686274509,0.8176470588235294,0.861764705882353,0.8950980392156863
Micro AVG,0.31085593835387215,0.49030914577848145,0.5932471005929278,0.6737205221467237
Classes,k = 1 ,k = 2,k = 3,k = 4
above,0.6319124423963134,0.8076036866359447,0.8767281105990783,0.913594470046083
at,0.11069418386491557,0.28330206378986866,0.49906191369606,0.6210131332082551
behind,0.49568679495686796,0.6410086264100863,0.7544790975447909,0.8128732581287326
below,0.2599337748344371,0.6009933774834437,0.7615894039735099,0.8211920529801324
beside,0.010438413361169102,0.07306889352818371,0.16075156576200417,0.2651356993736952
by,0.06818181818181818,0.14772727272727273,0.24242424242424243,0.32954545454545453
front,0.30283018867924527,0.4962264150943396,0.6245283018867924,0.7132075471698113
in,0.69376,0.81792,0.87904,0.91712
left,0.19434628975265017,0.31802120141342755,0.43109540636042404,0.519434628975265
near,0.08508158508158509,0.20745920745920746,0.32867132867132864,0.46853146853146854
next,0.3962516733601071,0.6465863453815262,0.7744310575635877,0.8520749665327979
on,0.8220498354489892,0.9170192759755524,0.9473436765397273,0.9663845792195581
over,0.0759493670886076,0.5316455696202531,0.6658227848101266,0.739240506329114
right,0.2540983606557377,0.45081967213114754,0.569672131147541,0.6434426229508197
top,0.05154639175257732,0.17010309278350516,0.3247422680412371,0.5051546391752577
under,0.4980392156862745,0.696078431372549,0.7833333333333333,0.8274509803921568
Micro AVG,0.309425020943831,0.4878489457378942,0.6014821638971115,0.6822122504724126
